State,Pop
.Alabama,5521717.286
.Alaska,837130.5714
.Arizona,7638062
.Arkansas,3385614.429
.California,43990512
.Colorado,6076191.571
.Connecticut,4106027.429
.Delaware,1063303.857
.District of Columbia,746137.2857
.Florida,22668198.14
.Georgia,11491802.43
.Hawaii,1606171.571
.Idaho,1862233.714
.Illinois,14693518.43
.Indiana,7516162.714
.Iowa,3539827.286
.Kansas,3304510.143
.Kentucky,5031717.286
.Louisiana,5291319
.Maine,1519205.857
.Maryland,6786183.286
.Massachusetts,7683336.143
.Michigan,11323908.57
.Minnesota,6212570
.Mississippi,3408851.857
.Missouri,6915104.571
.Montana,1162887.571
.Nebraska,2142290.857
.Nevada,3230286.286
.New Hampshire,1516459.714
.New Jersey,10190186.14
.New Mexico,2378582.143
.New York,22506870.29
.North Carolina,11322190.71
.North Dakota,826870.5714
.Ohio,13239765.57
.Oklahoma,4405904.429
.Oregon,4531782.429
.Pennsylvania,14596349.29
.Rhode Island,1205538.714
.South Carolina,5499260.143
.South Dakota,964193.2857
.Tennessee,7455673
.Texas,30580350.29
.Utah,3344945
.Vermont,714404.7143
.Virginia,9450166.857
.Washington,8043039.429
.West Virginia,2106969.143
.Wisconsin,6561911.286
.Wyoming,660655.4286
,
Puerto Rico,4054224.286
