Year,Month,State,Genus Species,Serotype or Genotype,Etiology Status,Location of Preparation,Illnesses,Hospitalizations,Deaths,Food Vehicle,Contaminated Ingredient,Specific Location
2009,1,Minnesota,Norovirus,,Suspected,Restaurant,2,0.0,0.0,,,Sit-down dining
2009,1,Minnesota,Norovirus,,Confirmed,,16,0.0,0.0,,,
2009,1,Minnesota,Norovirus,,Suspected,Restaurant,5,0.0,0.0,,,Sit-down dining
2009,1,Minnesota,Norovirus,,Confirmed,Restaurant,3,0.0,0.0,,,"""Fast-food""(drive up service or pay at counter)"
2009,1,Minnesota,Norovirus,,Confirmed,Restaurant,21,0.0,0.0,cookies,,other or unknown type
2009,1,Minnesota,Norovirus,,Confirmed,Restaurant,7,0.0,0.0,"salad, unspecified",,other or unknown type
2009,2,Minnesota,Norovirus,,Confirmed,Restaurant,5,0.0,0.0,,,other or unknown type
2009,2,Minnesota,Norovirus Genogroup II,,Suspected,Restaurant,22,1.0,0.0,mushrooms; pasta salad; fruit,,other or unknown type
2009,2,Minnesota,Norovirus,,Confirmed,Restaurant,16,0.0,0.0,vegetables,,other or unknown type
2009,2,Minnesota,Campylobacter jejuni,,Confirmed,Restaurant,11,2.0,0.0,"lettuce, unspecified",,other or unknown type
2009,2,Minnesota,Norovirus,,Confirmed,Restaurant,6,0.0,0.0,,,Sit-down dining
2009,2,Alaska,Norovirus Genogroup I; Norovirus Genogroup II,,Confirmed; Confirmed,Private,35,0.0,0.0,,,home/residence
2009,1,Alabama,Bacillus cereus,,Confirmed,Restaurant,13,0.0,0.0,"rice, white",rice,Sit-down dining
2009,1,Illinois,Norovirus Genogroup II,,Suspected,Restaurant,6,0.0,0.0,,,Sit-down dining
2009,1,Illinois,Norovirus Genogroup II,,Suspected,Restaurant,23,0.0,0.0,,,Sit-down dining
2009,1,Illinois,,,,Restaurant,4,0.0,0.0,,,other or unknown type
2009,1,Illinois,,,,Caterer,31,0.0,0.0,,,(food prepared off-site from where served)
2009,1,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant,26,1.0,0.0,"cake, chocolate",,other or unknown type
2009,1,Illinois,,,,Restaurant,2,0.0,0.0,,,other or unknown type
2009,1,Illinois,,,,Restaurant,4,0.0,0.0,,,other or unknown type
2009,1,Illinois,Salmonella enterica,Enteritidis,Confirmed,Grocery,7,2.0,0.0,,,store; Other
2009,1,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant,16,0.0,0.0,,,Sit-down dining
2009,1,Illinois,,,,Restaurant,5,0.0,0.0,,,other or unknown type
2009,2,Illinois,Norovirus Genogroup II,,Suspected,Other,51,0.0,0.0,,,
2009,2,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant,10,0.0,0.0,,,Sit-down dining
2009,2,Illinois,,,,Restaurant,3,0.0,0.0,,,other or unknown type
2009,2,Illinois,,,,Restaurant,5,0.0,0.0,,,other or unknown type
2009,2,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant,13,0.0,0.0,,,other or unknown type
2009,3,Illinois,,,,Other,2,0.0,0.0,,,
2009,3,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant,22,1.0,0.0,chicken salad,,Sit-down dining; Caterer (food prepared off-site from where served)
2009,1,Pennsylvania,Campylobacter jejuni,,Confirmed,Other,9,1.0,0.0,"milk, whole milk unpasteurized",,
2009,1,Tennessee,Norovirus Genogroup I,,Confirmed,Grocery,8,1.0,0.0,cake,,store
2009,3,Tennessee,Norovirus Genogroup I,,Confirmed,Restaurant,9,0.0,0.0,"oysters, raw",oysters,Sit-down dining
2009,3,New York,Shigella sonnei,,Confirmed,Restaurant,96,0.0,0.0,multiple foods,lemon; lime,Sit-down dining
2009,1,Massachusetts,Salmonella enterica,Braenderup,Confirmed,Restaurant,5,0.0,0.0,,,Sit-down dining
2009,1,Massachusetts,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private,3,2.0,0.0,"ground beef, hamburger",,home/residence
2009,1,Massachusetts,,,,Banquet,32,0.0,0.0,salads; tomatoes; vegetables,,Facility (food prepared and served on-site)
2009,1,Michigan,,,,Restaurant,15,0.0,0.0,"burrito, chicken",,other or unknown type
2009,2,New York,Norovirus unknown,,Confirmed,Restaurant,24,0.0,0.0,lettuce,lettuce,other or unknown type; Caterer (food prepared off-site from where served)
2009,2,Massachusetts,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,,2,0.0,0.0,,,
2009,1,Tennessee,Norovirus Genogroup II,,Confirmed,Restaurant,22,4.0,0.0,"oysters, raw",,Sit-down dining
2009,1,Tennessee,Norovirus Genogroup I,,Confirmed,Restaurant,6,0.0,0.0,,,"""Fast-food""(drive up service or pay at counter)"
2009,1,New York,,,,Restaurant,6,0.0,0.0,"ground beef, other",beef,Sit-down dining
2009,1,Florida,Norovirus Genogroup I,,Confirmed,Restaurant,24,0.0,0.0,"sandwich, wrap; sandwich, wrap",,other or unknown type
2009,2,New York,Norovirus,,Confirmed,Restaurant,51,1.0,0.0,"ground beef, gravy, toast, egg dish",,Sit-down dining
2009,2,New York,,,,Restaurant,9,1.0,0.0,,,Sit-down dining
2009,2,New York,,,,Restaurant,12,0.0,0.0,,,Sit-down dining
2009,1,Florida,,,,Restaurant,15,0.0,0.0,macaroni salad,,Sit-down dining
2009,2,Florida,Norovirus Genogroup II,,Confirmed,Long-term,13,2.0,0.0,"cookies, unspecified",,care/nursing home/assisted living facility
2009,3,New York,Staphylococcus aureus,,Confirmed,Private,20,0.0,0.0,chicken yak,,home/residence
2009,2,Wyoming,Norovirus Genogroup II,,Confirmed,,13,0.0,0.0,,,
2009,3,Illinois,Norovirus,,Confirmed,Private,189,1.0,0.0,"ice; lemonade, unspecified",,home/residence; Caterer (food prepared off-site from where served); School/college/university
2009,3,Illinois,Salmonella enterica,Typhimurium,Confirmed,Restaurant,6,0.0,0.0,,,Sit-down dining
2009,3,Illinois,Campylobacter jejuni; Listeria monocytogenes,,Confirmed; Confirmed,Private,6,1.0,0.0,,,home/residence
2009,3,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant,27,0.0,0.0,,,other or unknown type
2009,4,Illinois,Clostridium perfringens,,Confirmed,Private,24,0.0,0.0,"spaghetti, unspecified",,home/residence; Banquet Facility (food prepared and served on-site)
2009,3,Illinois,Salmonella enterica,Enteritidis,Confirmed,Grocery,5,0.0,0.0,,,store
2009,2,Massachusetts,,,,Restaurant,9,0.0,0.0,,,Sit-down dining
2009,3,Michigan,,,,Restaurant,14,1.0,0.0,salads,chicken,Sit-down dining
2009,3,Ohio,,,,Restaurant,3,0.0,0.0,"cheese; deli meat, sliced turkey","deli meat, sliced turkey","""Fast-food""(drive up service or pay at counter)"
2009,1,Michigan,,,,Restaurant,18,0.0,0.0,turkey,,other or unknown type
2009,1,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant,16,0.0,0.0,fruit,,Sit-down dining
2009,1,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant,5,0.0,0.0,,,Sit-down dining
2009,2,Wisconsin,Clostridium perfringens,,Confirmed,Restaurant,90,0.0,0.0,"beef, brisket",,Sit-down dining
2009,3,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Confirmed,Banquet,20,0.0,0.0,,,Facility (food prepared and served on-site)
2009,3,Florida,,,,,5,1.0,0.0,,,
2009,1,New Hampshire,Norovirus Genogroup II,,Suspected,Office/indoor,11,0.0,0.0,fruit-based salads,,workplace
2009,3,Arkansas,Salmonella enterica,Typhimurium,Confirmed,,5,3.0,0.0,,,
2009,2,Missouri,,,,Restaurant,17,0.0,0.0,"cake, tiramisu",,Sit-down dining
2009,3,Idaho,Clostridium perfringens,,Confirmed,Private,8,0.0,0.0,"chicken, other",,home/residence
2009,4,Minnesota,Norovirus,,Confirmed,Restaurant,15,0.0,0.0,"sandwich, unspecified",,"""Fast-food""(drive up service or pay at counter)"
2009,4,Ohio,,,,Restaurant,3,0.0,0.0,,,Sit-down dining
2009,4,Ohio,,,,,2,0.0,0.0,,,
2009,3,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant,23,0.0,0.0,,,Sit-down dining
2009,3,Florida,,,,Restaurant,4,0.0,0.0,ice; chicken,,Sit-down dining
2009,3,Michigan,,,,Restaurant,12,0.0,0.0,,,other or unknown type
2009,3,Michigan,Norovirus Genogroup II,,Confirmed,Restaurant,131,2.0,0.0,"salad, unspecified",,other or unknown type; Banquet Facility (food prepared and served on-site)
2009,3,Michigan,,,,Restaurant,9,,0.0,,,other or unknown type
