State,Illnesses,Hospitalizations,Deaths,Latitude,Longitude,Pop
alabama,3047,185,1,32.806671,-86.79113000000002,5521717.286
alaska,1358,93,1,61.370716,-152.404419,837130.5714
arizona,5227,234,0,33.729759,-111.431221,7638062.0
arkansas,2445,135,0,34.969704,-92.373123,3385614.4289999995
california,41429,1157,28,36.11620300000001,-119.681564,43990512.0
colorado,10440,206,4,39.059811,-105.311104,6076191.571
connecticut,4268,140,1,41.597782,-72.755371,4106027.429
delaware,262,9,0,39.318523,-75.507141,1063303.857
florida,23732,730,28,27.766279,-81.68678299999998,22668198.14
georgia,10516,346,5,33.040619,-83.643074,11491802.43
hawaii,3908,193,3,21.094318,-157.49833700000005,1606171.571
idaho,1870,62,1,44.240459,-114.478828,1862233.714
illinois,25424,750,5,40.349457,-88.986137,14693518.43
indiana,3432,205,1,39.849426,-86.258278,7516162.714
iowa,5039,122,1,42.011539,-93.210526,3539827.286000001
kansas,5973,157,1,38.5266,-96.726486,3304510.143
kentucky,954,49,2,37.66814,-84.670067,5031717.286
louisiana,4298,132,7,31.169546,-91.867805,5291319.0
maine,4943,103,0,44.693947,-69.381927,1519205.8569999996
maryland,9773,243,3,39.063946,-76.80210100000002,6786183.286
massachusetts,6778,264,5,42.230171,-71.530106,7683336.142999998
michigan,15144,376,6,43.326618,-84.53609499999997,11323908.57
minnesota,13939,378,3,45.694454,-93.900192,6212570.0
mississippi,1607,81,0,32.741646,-89.678696,3408851.857
missouri,4186,118,0,38.456085,-92.288368,6915104.571
montana,1338,46,0,46.921925,-110.454353,1162887.571
nebraska,1017,45,0,41.12537,-98.268082,2142290.857
new jersey,4460,148,3,40.298904,-74.521011,10190186.14
new mexico,1671,87,3,34.840515,-106.248482,2378582.143
new york,18198,605,13,42.165726,-74.948051,22506870.29
north carolina,6621,243,4,35.630066,-79.80641899999998,11322190.71
north dakota,2765,28,0,47.528912,-99.784012,826870.5714
ohio,21226,685,8,40.388783,-82.764915,13239765.57
oklahoma,2243,149,3,35.565342,-96.928917,4405904.429
oregon,9250,200,13,44.572021,-122.07093799999998,4531782.429
pennsylvania,11474,387,9,40.590752,-77.209755,14596349.29
rhode island,1197,51,4,41.680893,-71.51178,1205538.7140000002
south carolina,5231,195,3,33.856891999999995,-80.94500699999998,5499260.142999998
texas,14471,346,14,31.054487,-97.563461,30580350.29
virginia,7699,236,1,37.769337,-78.16996800000003,9450166.857
washington,10213,261,5,47.400902,-121.490494,8043039.429
washington dc,1530,17,0,38.897438,-77.02681700000002,746137.2857
west virginia,1148,50,2,38.491226,-80.954453,2106969.143
wisconsin,11454,342,3,44.268543,-89.616508,6561911.286
wyoming,1741,41,0,42.755966,-107.30249,660655.4286
